blood
testname,blood
result,Pass
bpressure,3.138933394369421
sample,Mu1
recordy,
recordx,
duration,2 min:42 sec
durationsecond,162
testtime,14:49:05
testdate,06/07/2021
ans,0.0,0.0,0.39635309376668953,0.39635309376668953,0.3968108644235904,0.6447699702449073,0.635233081559472,0.6574349584191653,1.2097352559700922,1.1908140688181887,1.2082093537804226,2.2456702525368124,2.2724498359655145,2.2908369573510337,3.1713588158999007,3.227893492027161,3.138933394369421
t,19.0,28.0,36.0,44.0,53.0,61.0,70.0,78.0,86.0,95.0,103.0,111.0,120.0,128.0,136.0,145.0,153.0
btime,5,20,20,20,20,20
bpoints,0,1.75,3.5,7,14,20
bresult,Pass,Pass,Pass,Pass,Pass,Pass
lastpressure,3.138933394369421
